Card Number,Deck,Name,Card Type,Description,Effect,Energy Levels,Power,Influence,Synergy
1,God of Time,Dom,Character,A character card with the ability to manipulate time and detect dark energy.,Gain 1 energy point at the beginning of your turn.,4,6/10,8/10,4/10
2,God of Time,Future Vision,Character,A character card that allows the player to see into the future and plan accordingly.,Look at the top 3 cards of your deck and put them back in any order.,3,3/10,7/10,5/10
3,God of Time,Time Keeper,Character,"A character card that allows the player to manipulate time and space, affecting creatures and the battlefield.",Return a Location card from your discard pile to your hand at the beginning of your turn.,5,5/10,6/10,6/10
4,God of Time,Timeless,Character,"A character card that exists outside of time and space, making them immune to time-based attacks.",Immune to the effects of Event cards that target character cards.,6,7/10,4/10,8/10
5,God of Time,Time Breaker,Character,"A character card that has the ability to break through time and space, creating chaos and confusion.",Discard a card from your hand to gain 1 energy level at the beginning of your turn.,5,8/10,5/10,7/10
7,God of Time,Time Reverse,Event,"Rewinds time for a brief moment, allowing the player to undo a recent action or effect.",Return the last played card during the current turn to its owner's hand. Energy cost is refunded.,4,-,-,-
8,God of Time,Time Snap,Event,"Snaps time and space, either to catch opponents off guard or avoid danger.",Target character card skips its next ability activation.,2,-,-,-
9,God of Time,Time Clone,Event,"Creates a clone of the player, allowing them to double their efforts and strike from multiple angles.",Create a copy of a character card with half of the original card's energy points (rounded down). The clone is removed from play at the end of your turn.,4,-,-,-
10,God of Time,Time Jump,Event,"Allows the player to jump through time and space, avoiding danger or catching opponents off guard.",Move one of your character cards to the active location card. That character gains 1 energy point.,3,-,-,-
11,God of Time,Time Shield,Location,Provides temporary protection against time-based attacks.,Cross Spread: Character cards in the same row and column as this card gain +1 energy point during your opponent's next turn.,3,-,-,-
12,God of Time,Time Bubble,Location,"Creates a bubble of slowed time around the player, allowing them to plan their next move.",Area Spread: Character cards in the area of effect cost 1 less energy point to activate their abilities during your next turn.        ,2,-,-,-
13,God of Time,Time Vortex,Location,"Creates a vortex of time and space, either to pull in opponents or escape danger.","Horizontal Spread: Choose a character card in the same row as this card. Move that card to another location. If it's an opponent's character card, it loses 1 energy point.",4,-,-,-
14,God of Time,Time Echo,Location,"Creates an echo of time and space, affecting creatures and the battlefield.","Cross Spread: During your next turn, character cards in the same row and column as this card may activate their abilities twice.",3,-,-,-
15,God of Time,Time Rift,Location,"Creates a rift in time and space, affecting creatures and the battlefield.","Area Spread: At the beginning of each player's turn, they must choose and discard one card from their hand. Character cards in the area of effect lose 1 energy point.",5,-,-,-
16,God of Time,Dark Energy Sphere,Item,Grants the wielder the ability to use dark energy and deal heavy damage.,Target character card loses 3 energy points.,4,-,-,-
17,God of Time,Chrono Blast,Item,"Deals heavy damage to a single target, but requires energy to use.",Target character card loses 4 energy points.,5,-,-,-
18,God of Time,Chrono Bracelet,Item,"Allows the player to manipulate time and space, either to avoid danger or catch opponents off guard.",Choose one of your character cards. That card gains 2 energy points.,3,-,-,-
